	L1_CD103	L2_CD103	L3_CD103	L1_DP	L2_DP	L3_DP	L1_DN	L2_DN	L3_DN	L1_CD49a	L2_CD49a	L3_CD49a
43891	174	4	2	154	19	1	37	30	2	115	61	0
43892	3627	3709	2834	3429	2832	2266	2918	3415	2376	2746	2923	2486
43893	261	183	250	201	176	170	214	211	211	246	344	282
43894	0	0	0	1	0	0	2	0	0	0	0	0
43895	2779	2305	2360	3157	2671	2340	2754	2529	2408	2406	2688	2732
43896	801	745	735	970	839	891	637	742	488	654	705	679
43897	10020	6112	7457	6634	5151	5739	9153	6473	8655	7312	6118	7515
43898	87	14	56	204	180	105	22	12	0	117	96	31
43899	34	20	24	59	58	39	37	47	8	48	68	54
43900	0	0	0	0	0	0	0	0	0	1	0	0
43901	0	0	0	0	0	0	0	0	0	0	0	0
44075	13171	13056	11862	10740	8575	7004	14499	15107	10567	9678	9419	8593
44076	1617	1275	1293	2281	2194	1631	1723	1359	1398	2075	1721	1811
44077	0	0	0	0	0	0	0	0	0	0	0	0
44078	95	79	33	222	98	84	99	94	41	154	92	134
44079	2	0	0	2	3	0	0	0	0	3	0	1
44080	8278	8068	6480	8300	7761	6598	8203	10066	6937	6512	9388	8045
44081	6887	8751	4896	8872	7582	6008	8398	12430	6073	7279	7617	7135
44082	184	94	89	94	91	65	199	80	103	139	159	90
44083	9651	8478	5665	20047	17046	12704	9142	11061	6341	10783	13787	13111
44084	1	13	3	25	4	24	17	11	6	30	33	1
44085	3362	3939	2880	12511	12552	11251	4659	6331	3513	11139	10326	9467
44086	0	0	0	0	0	0	0	0	0	0	0	0
44088	0	0	0	0	0	0	0	0	0	0	0	0
0610005C13Rik	5	3	1	0	0	4	17	7	1	0	2	1
0610006L08Rik	0	0	0	0	0	0	0	0	0	0	0	0
0610009B22Rik	114	88	29	80	71	50	94	83	52	88	84	86
0610009E02Rik	7	6	10	2	4	2	5	6	17	4	11	8
0610009L18Rik	51	32	57	40	58	28	42	32	36	66	28	44
0610010F05Rik	488	175	197	530	599	473	438	382	249	629	546	428
0610010K14Rik	34	37	38	41	40	26	32	73	42	28	16	30
0610012D04Rik	0	1	2	1	3	3	0	0	0	6	0	0
0610012G03Rik	1300	1347	1365	1526	1064	1042	1189	1229	1014	1276	1217	1180
0610025J13Rik	0	0	1	1	0	0	0	0	0	1	0	0
0610030E20Rik	559	690	650	732	877	480	688	928	615	851	591	427
0610031O16Rik	0	0	5	1	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	3	0	0	0	0	0	0	0
0610038B21Rik	3	4	4	14	25	27	8	2	8	14	12	12
0610039K10Rik	5	0	15	9	3	15	10	16	22	9	14	13
0610040B10Rik	87	59	84	36	62	51	63	75	45	53	58	39
0610040F04Rik	0	0	0	2	0	4	0	0	0	2	5	0
0610040J01Rik	49	2	7	53	9	2	0	6	2	12	4	3
0610043K17Rik	1	13	18	10	6	3	7	10	2	8	1	5
0710001A04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1010001B22Rik	11	1	5	2	2	2	1	0	1	1	8	2
1010001N08Rik	0	0	1	2	1	0	0	0	0	0	0	0
1100001I12Rik	0	0	1	0	0	0	0	0	0	0	0	0
1110002E22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110002J07Rik	0	0	0	0	0	0	0	0	0	1	0	0
1110002L01Rik	51	93	46	58	70	31	89	68	48	63	66	45
1110002O04Rik	0	4	0	0	0	0	0	0	0	0	0	0
1110003F10Rik	5	10	14	8	6	10	2	6	8	4	14	12
1110004F10Rik	3251	3099	2423	3335	2641	2349	3311	3226	2379	3122	3046	2974
1110006O24Rik	45	22	11	39	50	14	45	32	42	26	18	36
1110008E08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110008L16Rik	551	305	360	283	165	182	518	341	406	348	293	281
1110008P14Rik	319	398	334	1016	701	546	514	579	323	685	778	703
1110012L19Rik	358	350	333	460	334	330	440	350	304	402	431	388
1110013H19Rik	20	25	11	21	7	15	23	5	22	13	6	22
1110015O18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110017D15Rik	1	0	1	7	3	3	5	0	0	1	5	4
1110018N20Rik	1	0	0	0	0	0	0	0	1	0	0	0
1110019B22Rik	0	0	0	0	0	0	0	0	0	1	0	0
1110019D14Rik	19	45	7	11	22	11	28	31	16	15	11	11
1110020A21Rik	36	23	18	11	17	15	44	32	20	26	20	18
1110025L11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110025M09Rik	12	4	15	11	22	3	9	10	2	9	7	5
1110028F11Rik	0	1	6	0	8	3	0	2	5	4	8	0
1110028F18Rik	0	0	0	0	0	0	0	0	0	1	0	0
1110032A03Rik	281	177	256	198	189	132	207	168	164	157	149	139
1110032F04Rik	161	125	102	237	96	214	202	139	174	260	191	290
1110035H17Rik	10	3	6	4	5	5	8	12	6	4	18	5
1110036E04Rik	0	0	1	0	0	0	1	0	0	0	1	0
1110038B12Rik	115	119	101	64	50	36	62	115	70	69	65	51
1110038F14Rik	1237	1662	1415	1501	1088	1059	1303	1655	1025	1187	1179	1290
1110046J04Rik	0	2	0	18	5	18	1	6	0	12	6	10
1110051M20Rik	217	152	211	164	156	113	196	170	147	128	82	110
1110057P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1110059E24Rik	622	657	320	496	421	266	663	569	505	478	563	552
1110059G10Rik	882	751	967	894	814	798	1019	711	808	759	885	788
1110060G06Rik	0	0	0	1	0	0	0	0	0	0	0	0
1110065P20Rik	116	132	141	79	102	65	101	102	95	102	99	82
1190001M18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1190005I06Rik	1	0	0	6	6	4	2	1	0	8	6	3
1190007I07Rik	241	231	151	193	152	98	217	184	172	125	153	146
1190028D05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1200007C13Rik	3	0	0	0	0	0	0	0	0	1	0	0
1300002E11Rik	587	396	421	507	336	382	558	601	303	456	430	335
1300014J16Rik	32	31	46	20	26	23	24	29	45	30	44	26
1300017J02Rik	1	0	2	4	2	0	3	10	3	1	0	3
1500002C15Rik	13	25	45	40	21	42	30	22	23	57	16	50
1500002F19Rik	11	9	28	11	11	11	6	7	13	7	3	7
1500004A13Rik	103	69	118	176	142	160	123	70	90	169	75	137
1500005C15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1500009C09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1500009L16Rik	10	17	24	148	181	176	57	36	29	354	381	385
1500011B03Rik	821	620	638	636	449	415	761	699	409	584	602	518
1500012K07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1500015A07Rik	194	112	197	113	118	83	164	109	113	172	152	182
1500015L24Rik	0	0	0	0	0	0	0	0	1	0	0	0
1500015O10Rik	0	7	4	1	0	0	2	0	0	0	3	6
1500026H17Rik	2	2	6	1	3	2	5	9	4	4	3	4
1500035N22Rik	0	0	0	0	0	0	0	1	5	0	2	0
1520401A03Rik	0	4	21	9	5	0	0	0	1	10	0	0
1600002D24Rik	6	0	0	0	0	0	2	4	0	0	0	0
1600002K03Rik	347	398	286	357	274	220	300	361	234	174	295	302
1600010M07Rik	25	0	0	30	1	0	6	4	0	27	13	0
1600012H06Rik	677	472	396	826	728	555	754	682	371	1037	781	706
1600012P17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600014C10Rik	2841	3206	1638	4125	3159	2025	2359	2442	1481	2485	2616	1765
1600014C23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600017P15Rik	2	1	0	0	0	0	0	4	2	0	0	2
1600019K03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600020E01Rik	1578	1565	1665	1259	1265	1004	1508	1472	1186	1455	808	854
1600022D10Rik	0	0	0	4	0	0	0	8	0	0	0	0
1600023N17Rik	7	13	1	2	5	8	5	4	0	6	11	3
1600025M17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1600029O15Rik	4	1	2	0	1	7	2	0	0	2	1	7
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001C19Rik	0	0	0	0	4	0	0	0	0	2	0	0
1700001D01Rik	0	0	0	0	0	0	0	2	2	1	1	0
1700001F09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001G01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001G11Rik	3	14	9	10	11	8	10	6	13	10	8	14
1700001G17Rik	15	16	20	14	24	12	5	22	17	31	17	30
1700001J03Rik	6	3	2	2	0	0	3	0	0	1	0	0
1700001J04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001J11Rik	0	2	0	1	0	1	0	0	1	0	0	0
1700001K19Rik	11	5	40	7	12	12	2	3	3	9	5	13
1700001K23Rik	2	29	19	8	9	4	8	19	9	11	6	2
1700001L05Rik	12	0	0	20	15	19	12	12	0	18	25	36
1700001L19Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700001N15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700001O22Rik	33	1	53	22	12	13	113	53	91	77	65	35
1700001P01Rik	16	2	18	3	1	3	3	2	10	1	2	6
1700003C15Rik	3	0	0	0	0	0	0	0	0	0	0	0
1700003D09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003E16Rik	4	0	0	0	0	0	5	0	0	0	5	0
1700003E24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003F12Rik	1	1	1	1	0	0	1	3	2	1	1	2
1700003G18Rik	0	0	0	1	0	0	0	2	3	11	3	1
1700003H04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003I16Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700003I22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003L19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003M07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700003N22Rik	1	0	0	1	0	0	0	0	1	3	0	1
1700003P14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006F04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006H21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700006J14Rik	0	0	0	3	0	0	0	0	0	0	0	0
1700006P03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007E05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007F19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007H22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700007J10Rik	0	2	0	1	5	8	3	1	6	8	5	5
1700007K13Rik	0	0	0	2	4	0	2	0	0	1	10	0
1700007L15Rik	39	72	73	23	28	37	62	58	78	65	46	80
1700007M16Rik	1	0	1	0	0	0	0	0	0	0	0	0
1700007P06Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700008A23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700008B11Rik	0	0	2	2	1	0	1	1	0	0	2	0
1700008C04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700008H02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700008J07Rik	44	42	36	23	14	26	38	55	24	37	41	43
1700008K24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700008N11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	1	2	6	0	0	0	0	2	0	0	0	0
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700009C05Rik	0	0	0	0	0	0	0	1	0	0	0	0
1700009J07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010B08Rik	0	0	0	0	0	0	0	0	0	0	0	1
1700010B13Rik	0	0	0	3	0	5	0	1	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010G06Rik	4	0	0	0	0	0	0	0	1	0	0	0
1700010H22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010I02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	63	118	51	86	94	64	88	116	40	57	77	61
1700010J16Rik	0	0	0	0	0	0	0	1	0	0	0	0
1700010K23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700010K24Rik	2	0	3	3	0	0	2	3	0	1	3	0
1700010L04Rik	0	0	0	0	0	1	0	0	2	1	0	0
1700010N08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700011B04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700011C11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700011D18Rik	3	1	2	0	1	0	0	0	1	0	0	0
1700011L03Rik	0	0	0	3	0	0	8	0	0	0	0	0
1700011L22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700011M02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	9	0	7	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012C08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012C14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012D14Rik	122	44	94	74	51	62	70	53	91	60	78	77
1700012D16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012E03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012I11Rik	0	0	0	0	0	0	0	0	1	0	0	0
1700012J15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012J22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700013A02Rik	0	1	0	1	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	13	0	1	2	8	1	5	1	0	0
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700013M08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700013N06Rik	0	1	0	0	0	0	1	0	0	0	0	0
1700014D04Rik	0	0	0	0	5	3	0	0	12	7	0	0
1700014F14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700014L14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700015C15Rik	0	0	0	0	0	0	0	0	1	0	0	0
1700015C17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	4	0	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700015H07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700015I17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700015O11Rik	4	0	0	2	0	0	0	0	1	2	1	0
1700016A09Rik	0	0	1	2	3	1	1	9	1	1	0	0
1700016B01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016B15Rik	0	0	0	0	2	1	0	0	0	0	1	0
1700016C15Rik	5	8	9	7	7	20	6	1	5	10	3	16
1700016D06Rik	2	0	0	0	0	0	0	0	0	0	0	0
1700016D08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016F12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700016G22Rik	0	0	0	0	0	0	0	2	0	0	0	1
1700016H03Rik	0	0	0	0	0	0	0	0	0	1	1	0
1700016H13Rik	2	0	8	0	0	0	0	0	0	0	0	0
1700016J18Rik	0	0	0	0	0	1	0	0	0	0	0	0
1700016K05Rik	0	0	0	0	0	0	1	0	0	0	0	0
1700016K19Rik	12	2	2	4	0	0	7	5	7	0	6	0
1700016L21Rik	7	9	6	0	0	0	3	7	2	0	0	0
1700016P03Rik	29	22	80	29	8	19	18	22	26	8	12	14
1700016P04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017B05Rik	2048	2255	2327	5257	5230	4768	2368	3230	1917	3482	4844	4699
1700017D01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017G19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017I07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017J07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017L05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017M07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018A04Rik	0	0	0	0	1	0	0	0	0	1	0	0
1700018A14Rik	3	0	5	14	5	2	0	3	2	3	0	3
1700018A23Rik	52	22	16	8	3	4	23	22	23	3	4	15
1700018B08Rik	1	0	0	3	4	14	0	0	2	6	4	0
1700018B24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018G05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700018L02Rik	1	3	11	4	7	8	6	14	4	9	13	5
1700018M17Rik	7	4	8	1	2	0	10	1	2	3	4	1
1700018P08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019A02Rik	1	0	0	0	0	3	0	0	1	0	0	0
1700019A23Rik	0	0	0	0	1	0	0	1	0	2	0	0
1700019C18Rik	7	6	4	2	2	2	0	15	7	1	4	2
1700019D03Rik	9	0	20	0	2	9	12	11	9	14	13	3
1700019E08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019F05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019G24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019J19Rik	1	7	0	2	4	5	0	0	2	7	0	1
1700019L13Rik	15	13	63	9	12	17	12	10	18	10	10	12
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700019P21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	1	0	2	0	0	0	0	0	0	0
1700020D05Rik	7	0	0	3	0	0	8	2	1	4	1	0
1700020D12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700020G03Rik	0	0	0	0	0	0	0	0	0	1	0	0
1700020G17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700020I14Rik	1304	1508	1101	2871	2813	2426	1628	1968	1277	3157	2466	2296
1700020L24Rik	3	9	7	28	30	22	41	37	14	37	55	52
1700020M21Rik	0	0	1	0	0	0	0	0	0	0	0	0
1700020N01Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700020N18Rik	0	2	0	0	0	0	3	0	0	0	1	1
1700021A07Rik	46	69	52	38	38	20	47	40	20	37	28	43
1700021F02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	418	412	331	398	320	274	361	514	287	352	348	287
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700021F13Rik	0	0	0	0	1	0	0	0	0	0	0	0
1700021G15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700021J08Rik	22	22	22	31	29	18	22	10	9	28	8	13
1700021L23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700021N21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700021P04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022A21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022A22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022E09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022H01Rik	0	0	0	1	0	0	0	0	0	0	0	0
1700022H16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700022I11Rik	9	0	8	2	0	9	3	0	2	1	2	0
1700022N22Rik	36	29	19	9	5	11	31	15	8	19	14	13
1700023B13Rik	1	3	5	23	3	11	6	1	6	14	5	8
1700023C21Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700023F02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700023F06Rik	0	0	5	1	1	3	0	3	0	0	0	0
1700023G09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700023H06Rik	98	120	232	124	95	197	98	126	82	51	31	120
1700024B05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700024B18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700024G13Rik	0	0	0	3	0	0	0	0	0	0	2	0
1700024I08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700024J04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025A08Rik	0	0	0	0	0	0	3	0	0	0	0	2
1700025B11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025C18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025D23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025F24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	346	448	475	287	339	333	1170	1290	1105	1035	1430	1151
1700025H01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025J12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025K04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025K24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025L06Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025M24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700025N21Rik	0	0	2	5	3	3	0	0	2	1	2	1
1700025N23Rik	0	0	0	5	9	1	0	0	0	0	0	2
1700025O08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700026D11Rik	25	45	59	18	4	14	28	29	33	12	14	15
1700026F02Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700026J12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700026J14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700026N04Rik	0	2	1	0	0	1	0	0	1	0	0	0
1700027A07Rik	4	5	3	4	0	1	3	0	0	2	1	2
1700027A15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700027F06Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700027F09Rik	4	0	0	0	0	2	5	2	5	7	3	0
1700027H10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700027I24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700027J07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700028B04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700028D13Rik	0	0	0	0	0	0	0	0	0	0	0	2
1700028E10Rik	46	67	63	100	81	76	37	47	30	106	64	105
1700028I16Rik	0	0	0	0	0	0	0	0	0	0	0	1
1700028J19Rik	33	17	12	30	15	18	19	33	27	23	24	40
1700028K03Rik	0	2	0	7	2	3	7	2	7	3	13	1
1700028M03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700028N14Rik	36	37	102	64	53	84	27	52	66	25	39	35
1700028P14Rik	0	0	0	0	0	0	0	0	0	1	4	0
1700028P15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029B22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029B24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029E06Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029F12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	29	5	51	10	13	15	7	27	14	17	15	17
1700029I15Rik	64	47	70	166	90	91	58	66	81	125	72	70
1700029J03Rik	0	0	0	0	0	0	0	0	5	0	0	0
1700029J07Rik	82	53	115	26	69	40	62	97	52	75	21	21
1700029M03Rik	0	1	0	0	1	0	0	0	0	0	0	0
1700029M20Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700029N11Rik	0	0	0	1	2	0	0	0	0	1	1	0
1700029P11Rik	0	0	0	1	0	0	1	0	0	0	0	0
1700030A11Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030C10Rik	15	9	33	37	45	36	49	26	73	52	47	40
1700030C12Rik	1	0	1	3	0	1	1	0	0	1	1	0
1700030C14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030E10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030F04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030I03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	17	0	6	0	6	5	1	10	14	3	3	6
1700030K09Rik	296	288	182	253	200	126	275	279	137	167	158	162
1700030L20Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030L22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030M09Rik	0	0	0	0	0	0	0	1	1	0	0	0
1700030N03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030N18Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700030O20Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031A10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031F05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031F10Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031L13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031M16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700031P21Rik	0	0	0	5	5	0	0	0	0	0	2	1
1700034B16Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034G24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034H15Rik	0	0	0	10	6	3	16	2	1	9	2	1
1700034I23Rik	0	2	0	0	0	0	2	0	0	0	0	0
1700034J04Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0	1	0	0	0	0
1700034K08Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700034P13Rik	2	1	6	3	0	3	0	4	0	2	1	1
1700036A12Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700036G14Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700036O09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700037C06Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	156	111	143	98	86	89	130	112	76	86	119	90
1700037F03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700037F24Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700037H04Rik	697	570	620	970	677	538	713	705	529	712	801	643
1700039E22Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700039I01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700039M10Rik	0	0	0	0	0	1	2	0	0	2	1	0
1700039M15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700040D17Rik	10	6	0	6	2	4	1	0	3	0	1	0
1700040E09Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700040F15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700040F17Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700040K01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700040L08Rik	1	0	0	0	0	0	0	3	2	4	1	1
1700041B01Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700041C23Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700041G16Rik	26	26	46	33	30	47	38	40	27	35	46	42
1700041I07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700041M05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700041M19Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700042D02Rik	0	0	0	0	0	0	0	0	0	0	0	1
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700042G15Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700042O05Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700042O10Rik	2	15	1	0	0	6	1	10	5	0	5	0
1700044C05Rik	0	0	0	0	0	0	1	0	0	0	0	0
1700044K03Rik	0	0	0	0	0	0	0	0	0	0	0	0
1700045H11Rik	0	0	0	1	0	0	0	0	0	0	0	0
